Input,Output,ObservedProb,ExpectedProb
tot-u,tolu,1.0,0.19796332449953047
tot-u,tou,0.0,0.06991384845384399
tot-o,toto,0.0,0.7321228270466255
tot-o,tolo,1.0,0.19796332449953047
tot-o,too,0.0,0.06991384845384399
tot-to,totto,1.0,0.9640771564227817
tot-to,tolto,0.0,0.026547262171011957
tot-to,toto,0.0,0.009375581406206368
tot-i,toti,0.0,0.7321228270466255
tot-i,toli,1.0,0.19796332449953047
tot-i,toi,0.0,0.06991384845384399
tot-ti,totti,1.0,0.9640771564227817
tot-ti,tolti,0.0,0.026547262171011957
tot-ti,toti,0.0,0.009375581406206368
not-a,nota,0.0,0.7321228270466255
not-a,nola,1.0,0.19796332449953047
not-a,noa,0.0,0.06991384845384399
not-ta,notta,1.0,0.9640771564227817
not-ta,nolta,0.0,0.026547262171011957
not-ta,nota,0.0,0.009375581406206368
not-e,note,0.0,0.7321228270466255
not-e,nole,1.0,0.19796332449953047
not-e,noe,0.0,0.06991384845384399
not-te,notte,1.0,0.9640771564227817
not-te,nolte,0.0,0.026547262171011957
not-te,note,0.0,0.009375581406206368
not-tu,nottu,1.0,0.9640771564227817
not-tu,noltu,0.0,0.026547262171011957
not-tu,notu,0.0,0.009375581406206368
not-u,notu,0.0,0.7321228270466255
not-u,nolu,1.0,0.19796332449953047
not-u,nou,0.0,0.06991384845384399
not-o,noto,0.0,0.7321228270466255
not-o,nolo,1.0,0.19796332449953047
not-o,noo,0.0,0.06991384845384399
not-to,notto,1.0,0.9640771564227817
not-to,nolto,0.0,0.026547262171011957
not-to,noto,0.0,0.009375581406206368
not-i,noti,0.0,0.7321228270466255
not-i,noli,1.0,0.19796332449953047
not-i,noi,0.0,0.06991384845384399
not-ti,notti,1.0,0.9640771564227817
not-ti,nolti,0.0,0.026547262171011957
not-ti,noti,0.0,0.009375581406206368
mat-a,mata,0.0,0.7321228270466255
mat-a,mala,1.0,0.19796332449953047
mat-a,maa,0.0,0.06991384845384399
mat-ta,matta,1.0,0.9640771564227817
mat-ta,malta,0.0,0.026547262171011957
mat-ta,mata,0.0,0.009375581406206368
mat-e,mate,0.0,0.7321228270466255
mat-e,male,1.0,0.19796332449953047
mat-e,mae,0.0,0.06991384845384399
mat-te,matte,1.0,0.9640771564227817
mat-te,malte,0.0,0.026547262171011957
mat-te,mate,0.0,0.009375581406206368
mat-tu,mattu,1.0,0.9640771564227817
mat-tu,maltu,0.0,0.026547262171011957
mat-tu,matu,0.0,0.009375581406206368
mat-u,matu,0.0,0.7321228270466255
mat-u,malu,1.0,0.19796332449953047
mat-u,mau,0.0,0.06991384845384399
mat-o,mato,0.0,0.7321228270466255
mat-o,malo,1.0,0.19796332449953047
mat-o,mao,0.0,0.06991384845384399
mat-to,matto,1.0,0.9640771564227817
mat-to,malto,0.0,0.026547262171011957
mat-to,mato,0.0,0.009375581406206368
mat-i,mati,0.0,0.7321228270466255
mat-i,mali,1.0,0.19796332449953047
mat-i,mai,0.0,0.06991384845384399
mat-ti,matti,1.0,0.9640771564227817
mat-ti,malti,0.0,0.026547262171011957
mat-ti,mati,0.0,0.009375581406206368
tus-a,tusa,1.0,0.7321228270466255
tus-a,tula,0.0,0.19796332449953047
tus-a,tua,0.0,0.06991384845384399
tus-ta,tutta,1.0,0.9640771564227817
tus-ta,tulta,0.0,0.026547262171011957
tus-ta,tuta,0.0,0.009375581406206368
tus-e,tuse,1.0,0.7321228270466255
tus-e,tule,0.0,0.19796332449953047
tus-e,tue,0.0,0.06991384845384399
tus-te,tutte,1.0,0.9640771564227817
tus-te,tulte,0.0,0.026547262171011957
tus-te,tute,0.0,0.009375581406206368
tus-tu,tuttu,1.0,0.9640771564227817
tus-tu,tultu,0.0,0.026547262171011957
tus-tu,tutu,0.0,0.009375581406206368
tus-u,tusu,1.0,0.7321228270466255
tus-u,tulu,0.0,0.19796332449953047
tus-u,tuu,0.0,0.06991384845384399
tus-o,tuso,1.0,0.7321228270466255
tus-o,tulo,0.0,0.19796332449953047
tus-o,tuo,0.0,0.06991384845384399
tus-to,tutto,1.0,0.9640771564227817
tus-to,tulto,0.0,0.026547262171011957
